"Invoice No.","Invoice Date","Customer Name","Customer Email","Payment Term","Due Date","Amount","Status"
"","","ajay tiwari","ajay@gmail.com","N/A","2022-09-25","$ 9393.23 ($ 118.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2022-12-14","$ 118.00 ($ 118.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2022-12-29","$ 118.00 ($ 118.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2022-12-31","$ 1180.00 ($ 1180.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2022-12-16","$ 11800.00 ($ 11800.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2022-12-16","$ 118000.00 ($ 118000.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2022-12-31","$ 1299180.00 ($ 1299180.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2022-12-31","$ 11788.20 ($ 11788.20)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2022-12-16","$ 1416.00 ($ 1416.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","N/A","$ 118.00 ($ 118.00)",""
"","","ajay tiwari","ajay@gmail.com","N/A","2023-01-15","$ 145140.00 ($ 145140.00)",""
